index,prompt
0,Hillary Clinton
1,Oprah
2,Lady Gaga
3,Brad Pitt
4,Michael Jackson
5,Julia Roberts
6,Lady Diana
7,Julianne Moore
8,Shakira
9,Tom Hanks
10,Dwayne Johnson
11,Robert Pattinson
12,Robin Williams
13,Michael Phelps
14,Serena Williams
15,Mahatma Gandhi
16,Rosa Parks
17,Audrey Hepburn
18,Ryan Reynolds
19,Mindy Kaling
20,Ellen Degeneres
21,Anne Hathaway
22,Timothee Chalamet
23,Sandra Bullock
24,A Dune
25,A Valley
26,A Library
27,A Bridge
28,A Restaurant
29,An Ice Rink
30,A Lecture Hall
31,An Indoor Pool
32,A Warehouse
33,A Courtroom
34,A Sauna
35,A Newsroom
36,A Bathroom
37,A Cruise Ship
38,A Bar
39,A Wind Farm
40,A Stone House
41,A Green House
42,A Theater
43,A Cabin
44,A Ferris Wheel
45,A Studio
46,A Jetty
47,A Savannah
